#name (cmd = mergePeaks -d 100 /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_30_VS_siIkBa_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt /mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_30_VS_siIkBa_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_75_VS_siIkBa_0.txt	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt
Merged-chr16-8797567-1	chr16	8797517	8797617	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17454
Merged-chr16-8863936-1	chr16	8863886	8863986	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17455
Merged-chr6-82506796-1	chr6	82506746	82506846	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_42971
Merged-chr20-48238579-1	chr20	48238529	48238629	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29472
Merged-chr6-82624470-1	chr6	82624420	82624520	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_42975
Merged-chr20-48350762-1	chr20	48350712	48350812	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29478
Merged-chr16-9096584-1	chr16	9096534	9096634	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17470
Merged-chr9-20621958-1	chr9	20621908	20622008	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_50906
Merged-chr2-74585424-1	chr2	74585374	74585474	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25409
Merged-chr2-75324346-1	chr2	75324296	75324396	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25431
Merged-chr14-23115256-1	chr14	23115206	23115306	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13421
Merged-chr8-103136768-1	chr8	103136718	103136818	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_49488
Merged-chr11-69524686-1	chr11	69524636	69524736	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_8313
Merged-chr14-23695507-1	chr14	23695457	23695557	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13451
Merged-chr14-23954035-1	chr14	23953985	23954085	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13461
Merged-chr11-70424223-1	chr11	70424173	70424273	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_8340
Merged-chr12-45234636-1	chr12	45234586	45234686	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_9962
Merged-chr12-45379507-1	chr12	45379457	45379557	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_9968
Merged-chr12-45415589-1	chr12	45415539	45415639	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_9969
Merged-chr12-46492710-1	chr12	46492660	46492760	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_9996
Merged-chr11-72643140-1	chr11	72643090	72643190	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_8393
Merged-chr3-101925789-1	chr3	101925739	101925839	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_33400
Merged-chr7-36367098-1	chr7	36367048	36367148	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_45445
Merged-chr18-13425968-1	chr18	13425918	13426018	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_21423
Merged-chr10-68956570-1	chr10	68956520	68956620	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_5907
Merged-chr10-71772277-1	chr10	71772227	71772327	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_5986
Merged-chr10-72215968-1	chr10	72215918	72216018	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_5999
Merged-chrX-42246850-1	chrX	42246800	42246900	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53401
Merged-chr6-7008719-1	chr6	7008669	7008769	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41405
Merged-chr16-10964195-1	chr16	10964145	10964245	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17514
Merged-chr6-7723256-1	chr6	7723206	7723306	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41432
Merged-chr6-8102091-1	chr6	8102041	8102141	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_41443
Merged-chr16-11584274-1	chr16	11584224	11584324	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17535
Merged-chrX-48631556-1	chrX	48631506	48631606	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53492
Merged-chr16-13099069-1	chr16	13099019	13099119	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17576
Merged-chr20-50441583-1	chr20	50441533	50441633	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29598
Merged-chr16-14301078-1	chr16	14301028	14301128	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17596
Merged-chr1-107965116-1	chr1	107965066	107965166	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_1985
Merged-chr4-154622847-1	chr4	154622797	154622897	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_37519
Merged-chr4-157045653-1	chr4	157045603	157045703	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_37549
Merged-chr14-26394341-1	chr14	26394291	26394391	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_13532
Merged-chr2-88055858-1	chr2	88055808	88055908	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_25578
Merged-chr11-74417635-1	chr11	74417585	74417685	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_8452
Merged-chr11-75422075-1	chr11	75422025	75422125	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_8487
Merged-chr7-41476372-1	chr7	41476322	41476422	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_45536
Merged-chr18-24426735-1	chr18	24426685	24426785	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_21510
Merged-chr3-112640465-1	chr3	112640415	112640515	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_33558
Merged-chr3-112991229-1	chr3	112991179	112991279	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_33567
Merged-chr18-28178371-1	chr18	28178321	28178421	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_21556
Merged-chr7-43770287-1	chr7	43770237	43770337	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_45598
Merged-chr1-226149997-1	chr1	226149947	226150047	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_4403
Merged-chr1-229020036-1	chr1	229019986	229020086	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_4473
Merged-chr1-229661449-1	chr1	229661399	229661499	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_4490
Merged-chr1-6260101-1	chr1	6260051	6260151	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_120
Merged-chr20-50538457-1	chr20	50538407	50538507	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29605
Merged-chr1-7770875-1	chr1	7770825	7770925	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_153
Merged-chr16-15642824-1	chr16	15642774	15642874	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17628
Merged-chr20-51160670-1	chr20	51160620	51160720	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29646
Merged-chr1-8212139-1	chr1	8212089	8212189	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_170
Merged-chr15-58933624-1	chr15	58933574	58933674	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_16020
Merged-chr2-226119124-1	chr2	226119074	226119174	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_28041
Merged-chr16-15879658-1	chr16	15879608	15879708	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17636
Merged-chr1-8913648-1	chr1	8913598	8913698	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_186
Merged-chr20-51542728-1	chr20	51542678	51542778	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_29661
Merged-chrX-54183629-1	chrX	54183579	54183679	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_53589
Merged-chr16-17316192-1	chr16	17316142	17316242	+	0.000000	/mnt/minami_shared/ATAC-seq_filtered/DifferentialPeaks_siIkBa_120_VS_siIkBa_0.txt	1			siIkBa_120_peak_17655
