"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"
"11"	"chr5"	612229	612330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1891.35693903916	0	2186.24435268433	0	0	0	0	2299.67418913082	0	0	0	0	0	0	0	0	0	0	0	0	0	4967.07659324735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10630.5375962736	0	0	0
"12"	"chr11"	624049	624150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4599.34837826791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379.003181734221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"chr16"	660886	661097	0	0	0	0	0	0	0	0	0	0	0	6739.76613816172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815.856554320252	0	0	0	0	0	0	0	0	5211.29891989085	0	0	4496.14620400528	0	0	0	0	0	5676.40056409051
"14"	"chr2"	662651	662752	0	3561.9265830765	5968.57645044436	0	3926.69503318186	3062.99290169669	0	0	2800.99881025062	0	0	0	2878.08879694616	0	2874.25174800468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5968.31843787715	0	0	0	10905.972519967	0	0	0	0	8685.25775135462	8353.61353536941	0	0	0	8007.63265712388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"chr8"	694432	694533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13738.9233554565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581.84984426025	0	0	0	0	0	0	0	0	0	0	0	0	0	4441.86985509918	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	"chr4"	705572	705673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7758.91879065784	0	0	0	0	0	0	0	5948.17250117548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8011.22956008316	0	0	0	0	0	0	0	0	0	0	0	0	0
"17"	"chr20"	768710	768824	0	0	0	0	0	0	5920.95737017366	5038.55131075787	0	0	0	0	0	0	0	0	0	0	10672.3671296007	0	0	0	2921.14102847256	0	0	0	0	0	0	0	0	0	0	0	6768.22401698463	2563.18344073104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7931.92396703529
"18"	"chr11"	859980	860081	0	0	0	0	0	5574.64708109416	0	0	5097.81783466178	0	0	0	5238.12161044783	6402.75409455863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	"chr18"	902266	902367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5564.96952428351	0	0	0	0	12705.8301250946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6965.97290069093	7234.65503800161	0	0	0	0	0	0	0	0	0	0	0	0	9569.91869708266	0	0	0	0	0	0	0	0	0	0	0	0
"20"	"chr20"	953848	953949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4873.63329296906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5073.56640921076	0	0	0	7931.92396703529	2203.93559370586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"chr1"	1040887	1040988	0	7195.09169782173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16804.9877312726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"chr4"	1082466	1082567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4886.22797161376	0	0	0	0	0	0	0	0	0	0	5967.85620598211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23"	"chr5"	1112022	1112123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3449.10209761142	0	0	0	0	0	0	0	1130.44439234566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2398.12385206072	3972.27320666823	0	0	0	0	0	0	0	0	0
"24"	"chr20"	1225486	1225587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3271.53632699182	0	0	0	0	0	6235.98729961898	0	0	0	0	0	0	0	0	0	6831.4154822632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"chr20"	1299651	1299752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26"	"chr10"	1347982	1348083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	"chr16"	1379321	1379422	0	0	0	0	0	0	0	0	0	0	4681.77928774165	0	0	0	0	8882.68164066954	13411.4569058938	0	0	5564.96952428351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609.06377147222	0	16166.6183886265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	"chr7"	1412961	1413062	7931.92396703529	0	0	0	0	0	0	0	0	0	0	0	3453.70655634121	4221.59610630481	3449.10209761142	0	0	4776.09247041036	10672.3671296007	0	4828.62738988532	4609.25868752266	0	0	0	0	0	0	4333.92397445856	0	0	5376.28225203186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10422.6837294855	0	0	0	0	0	0	0	0	0	0	0	0
"29"	"chr4"	1469811	1469912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955.218494080464	0	0	0	0	6217.44415791063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"chr5"	1479766	1479868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7931.58108191308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9569.91869708266	0	0	0	0	0	0	0	0	0	0	0	0
"31"	"chr17"	1485005	1485106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7774.85616570802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"chr1"	1550995	1551096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"33"	"chr4"	1693499	1693600	0	0	0	0	0	0	0	0	0	4619.17977240592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8011.22956008316	0	0	0	0	0	0	0	0	0	0	0	0	0
"34"	"chr8"	1701381	1701482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"35"	"chr11"	1705724	1705825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5798.03979391432	0	0	0	0	0	0	0	0	0	0	0	0	15198.9470257172	0	0	0	0	0	0	0	0	0	0	0	0	0	5504.78429678124	0	0	0	0	0	0	0	0	0	0
"36"	"chr11"	1750072	1750173	0	0	0	0	0	6187.2456614335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"37"	"chr17"	1770197	1770298	0	0	0	0	0	0	2498.34048375746	3446.71376793204	0	0	0	3077.61868776884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6875.44340735109	0	0	6851.24458157623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5430.88864296856	0	2653.04676750541	7769.87784733811	1308.06755566948	0	0	0	0	0	0	10420.0319012981	0	0	0
"38"	"chr11"	1796859	1796960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4350.73495241593	0	0	0	0	10822.3300830938	0	0	0	0	0	0	0	0	0	27020.3502679844	2938.44438497035	0	0	2493.78687909933	0	0	0	0	0	0	7931.91045552796	0	0	0	0	0	0	0	0	0	0	0	0	0
"39"	"chr8"	1823293	1823394	0	0	0	0	0	0	0	0	5601.99762050689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4565.89050587448	0	2843.88843370201	0	0	4303.64332403115	4253.25792835018	7931.92396703529	0	0	8011.22956008316	9569.91869708266	0	0	0	0	0	0	0	0	0	0	0	0
"40"	"chr5"	1883789	1883890	0	0	0	0	0	0	0	0	4761.69797743171	3887.42852133245	0	0	4892.75095481429	0	4828.74293665366	0	0	0	0	0	0	0	0	0	0	0	6585.84012582669	0	0	0	0	0	0	3479.36375770785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5589.52231523131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10630.5375962736	0	0	0
"41"	"chr19"	1905253	1905354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5564.96952428351	0	0	0	0	9309.22207185491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4565.89050587448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	"chr16"	1929845	1929946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"43"	"chr2"	2057203	2057304	7931.92396703529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"44"	"chr8"	2130746	2130847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"45"	"chr5"	2135237	2135338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"46"	"chr19"	2156244	2156345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868.210285096232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47"	"chr16"	2212644	2212745	0	0	0	0	0	6187.2456614335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"48"	"chr16"	2235762	2235863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7014.34125396411	0	0	0	0	0	0	405.395403637343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"49"	"chr19"	2236935	2237036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5805.98853097525	0	0	0	0	0	0	0	0	0	0	0	0	8342.99936592414	0	0	0	0	0	0	0	0	0	0	0	0	0	8188.98715348251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50"	"chr9"	2271532	2271633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51"	"chr9"	2299317	2299418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"52"	"chr20"	2302589	2302691	0	0	7931.92396703529	0	0	0	0	0	0	0	0	0	0	0	0	0	11176.2140882403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10822.3300830938	8023.85191584919	0	0	6831.4154822632	0	0	0	0	0	0	0	4833.61656334251	0	8685.25775135462	0	548.503560905256	0	0	0	0	0	0	0	0	0	5613.91791025914	0	0	0	0	0	0	0	0
"53"	"chr17"	2346611	2346712	0	0	0	0	0	0	0	0	0	3613.02180217989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7931.58108191308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"54"	"chr9"	2466274	2466375	0	3918.11924139135	0	0	0	0	0	0	3081.09869128134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8011.22956008316	0	0	0	0	5613.91791025914	0	0	0	0	0	4383.70720632991	0	0
"55"	"chr20"	2476211	2476312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6277.48900276878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5613.91791025914	0	0	0	0	0	0	0	0
"56"	"chr17"	2593995	2594096	0	0	0	0	0	0	0	344.671376793204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8500.49809415992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13866.561289111	0	0	0	0	0	0	0
"57"	"chr5"	2594804	2594905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6922.22443515646	0	0	0	0
"58"	"chr9"	2728123	2728224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4565.89050587448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34159.0900049173	0	0	0	10420.0319012981	0	0	0
"59"	"chr7"	2733397	2733498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4660.96445301001	10630.5375962736	0	0	0
"60"	"chr20"	2768410	2768511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9689.76488094105	0	0	0	0	0	0	0	0	0	0	0	8026.82899202757	7200.39182271884	6828.03284325165	0	42641.4902666382	0	8500.49809415992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"61"	"chr6"	2848891	2848992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5564.96952428351	0	0	0	0	0	0	0	0	0	0	0	0	1090.72035726992	0	0	0	0	0	0	0	0	81.0790807275504	72.7312305325128	68.9700287197129	0	0	45.206836691827	84.1633474669308	76.8618495595915	0	0	0	42.1114646371309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"62"	"chr7"	2860760	2860861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951.003011548698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9288.24540460498	0	0	6686.98091168547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"63"	"chr6"	2876509	2876708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3859.12459472695	0	0	0	0	0	0	0	0	0	0	0	0	1427.65803970816	0	0	0	0	0	0	6041.85489888766	0	0	5573.98993392453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"chr19"	2900824	2900925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6068.85727190238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"65"	"chr11"	2911678	2911779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"66"	"chr19"	2945041	2945142	0	0	0	0	0	9372.75827921043	0	0	5658.01759671191	4619.17977240592	2503.12952018088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14614.8731324432	0	0	0	0	0	7345.85428378372	6965.97290069093	0	0	4565.89050587448	8500.49809415992	0	0	0	4303.64332403115	4253.25792835018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"67"	"chr6"	2963279	2963380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"68"	"chr10"	2985896	2985997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7283.16437444281	8342.99936592414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7345.85428378372	12966.365399279	0	0	4565.89050587448	8500.49809415992	7763.04680551867	0	0	4303.64332403115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"69"	"chr16"	3037011	3037112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9497.72268996876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"70"	"chr6"	3135832	3135933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574.850349601516	0	0	0	0	0	804.771231647012	0	0	0	0	0	0	0	0	0	6836.86921092946	0	0	0	0	0	0	0	0	0	7931.58108191308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"71"	"chr16"	3166547	3166648	0	0	0	0	0	0	0	0	0	0	4681.77928774165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6277.48900276878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3062.82212588185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"72"	"chr6"	3176875	3176976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9514.57363558546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2502.5977509256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1397.6516838251	0	0	0	0	0	0	0	0	0
"73"	"chr12"	3242275	3242376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5967.85620598211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"74"	"chr18"	3297393	3297494	0	0	0	0	0	0	0	1206.34981877621	0	0	0	0	0	7106.35344560825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6140.04903347115	0	0	0	0	0	0	0	0	0	0	7931.58108191308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6454.97544240601	0	7429.6221087619	0	0	0	0	0	0	3746.0770672205	0	0
